family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,214747.0894257977,0.7608859880983335,107373.54471289885
OPS,EST,SVP,semigov,M,True,1,178931.12732749508,0.711593424841406,89465.56366374754
DATA,RUH,D2,semigov,M,False,1,122109.92346434272,0.659939738316207,61054.96173217136
FIN,RUH,D1,mnc,M,True,1,90698.50233658572,0.6334740945088114,45349.25116829286
PM,TAB,SVP,private,M,True,1,80315.10197362499,0.541929617683698,40157.550986812494
PM,EST,VP,private,M,True,1,78283.15846628546,0.4959347312512525,39141.57923314273
PM,RUH,D2,private,F,True,1,77062.07137098939,0.5626701901679889,38531.035685494695
SWE,JED,D1,pif_backed,M,True,1,70884.24853905367,0.5631978355291833,35442.12426952684
SUPPLY,MAK,M4,pif_backed,F,True,1,70068.02731088111,0.6354481523906983,35034.013655440554
DATA,RUH,M1,private,M,True,1,68550.1406881662,0.6823536412989857,34275.0703440831
ENG_CIVIL,RUH,D3,private,M,False,1,67168.37104169077,0.49436901756617174,33584.185520845385
SWE,RUH,VP,private,M,True,1,66033.58502092616,0.4833912548115144,33016.79251046308
DATA,EST,M4,public,M,False,1,65933.50429185173,0.6091200958932237,32966.752145925864
SALES,JED,M5,pif_backed,M,True,1,63589.58508475691,0.5722107923921016,31794.792542378455
PM,HAI,M3,private,M,True,1,62070.196277268624,0.6733014138337851,31035.098138634312
ENG_ELEC,RUH,SVP,mnc,M,True,1,59791.99786558228,0.4501116762518827,29895.99893279114
SWE,MAK,M5,semigov,M,True,1,59002.33590238174,0.5214743555904366,29501.16795119087
MARKETING,RUH,D2,private,F,True,1,58988.58306379188,0.5927485691273764,29494.29153189594
ENG_MECH,EST,M3,public,M,True,1,58779.04795926685,0.5873227357659045,29389.523979633424
MARKETING,JED,D3,semigov,M,False,1,56742.015761381095,0.5393829252811135,28371.007880690548
SALES,JED,IC5,private,M,True,2,53109.49913173319,0.5737921351611114,26554.749565866594
SWE,QAS,M2,public,M,True,1,51176.83328742116,0.6603505814995836,25588.41664371058
DATA,EST,M1,mnc,M,True,1,51176.218216914815,0.648740822667635,25588.109108457407
PM,RUH,M4,semigov,M,True,1,49875.98850746767,0.5333121670871347,24937.994253733836
SWE,RUH,M5,private,M,False,1,49514.84370287116,0.4701757123150927,24757.42185143558
SWE,ASR,M4,semigov,M,True,1,48406.521093470015,0.6197845065716479,24203.260546735008
FIN,RUH,M2,pif_backed,F,True,1,45868.9293291495,0.6120068667138747,22934.46466457475
HEALTH,RUH,M5,mnc,F,True,1,45531.268716123755,0.5061754768664215,22765.634358061878
SALES,RUH,M3,private,M,True,1,44945.12548447593,0.5568534785556062,22472.562742237966
DATA,RUH,D3,private,M,False,2,44035.5949474143,0.29020278582981895,22017.79747370715
SWE,RUH,M3,semigov,M,False,1,43381.70645024509,0.546107874976744,21690.853225122544
FIN,JED,D3,startup,M,True,1,43381.18185052503,1.8850269949770928,21690.590925262513
DATA,RUH,M2,public,M,False,1,43298.40887563806,0.5627841091955422,21649.20443781903
LEGAL,EST,SVP,private,M,True,1,42288.110505196746,0.3388442427534192,21144.055252598373
SWE,RUH,IC6,public,M,True,1,41988.45697847398,0.5082327529915478,20994.22848923699
SWE,RUH,IC5,mnc,M,False,2,40742.613163257134,0.5392677968098485,20371.306581628567
EDU,JED,D2,private,M,True,1,40534.7288647097,0.536830285200823,20267.36443235485
ENG_CIVIL,RUH,M2,pif_backed,M,True,1,40502.77996436926,0.6469368200840331,20251.38998218463
HEALTH,TAB,VP,semigov,M,False,1,39821.546126180154,0.4259154701442939,19910.773063090077
SWE,RUH,D1,mnc,M,True,2,39475.74798660743,0.3444442587280043,19737.873993303714
SALES,RUH,IC4,semigov,M,False,1,38948.97953686192,0.6688090788851686,19474.48976843096
OPS,RUH,M5,mnc,M,False,1,38613.18987065042,0.527318248588375,19306.59493532521
PM,ASR,IC6,private,M,False,1,38476.27949174156,0.6627976675076735,19238.13974587078
HEALTH,MAD,M1,pif_backed,F,False,1,38434.98128714991,0.7000996604173443,19217.490643574954
ENG_MECH,RUH,IC4,semigov,M,True,2,38099.71474988491,0.4070935235197798,19049.857374942454
MARKETING,NJR,M4,private,F,True,1,37920.19527926341,0.5515866147151468,18960.097639631706
SWE,QAS,M1,semigov,M,True,1,37539.784552690006,0.6385815812672023,18769.892276345003
DESIGN,TAB,M4,mnc,M,True,1,37104.232760023304,0.4968281976623526,18552.116380011652
ENG_MECH,RUH,CXO,public,M,False,1,37040.71554480784,0.3575108109683418,18520.35777240392
EDU,JED,VP,private,M,True,1,37036.95342686634,0.5351943573803772,18518.47671343317
SALES,RUH,M2,private,F,True,1,36966.45896337851,0.5473641007491996,18483.229481689254
LEGAL,RUH,IC5,mnc,F,True,1,36536.24802095613,0.5262225599965568,18268.124010478066
EDU,JED,VP,private,F,True,1,35884.89082957184,0.5188884176056164,17942.44541478592
