family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,263912.51771,0.9350875830085602,131956.258855
OPS,EST,SVP,semigov,M,True,1,233130.92771,0.9271412848250764,116565.463855
PM,TAB,SVP,private,M,True,1,129881.66771,0.8763821597252778,64940.833855
DATA,RUH,D2,semigov,M,False,1,120723.35666666662,0.6524460760186992,60361.67833333331
ENG_MECH,EST,D2,semigov,M,True,1,119682.42999999988,2.3377374021014186,59841.21499999994
ENG_MECH,RUH,D3,public,M,True,1,116998.20999999999,1.433979434704402,58499.104999999996
SWE,MAK,M5,semigov,M,True,1,94824.80771,0.8380804715320301,47412.403855
SALES,JED,IC5,private,M,True,1,93265.79512303995,0.780107467831474,46632.897561519974
FIN,RUH,D1,mnc,M,True,1,92934.11767850294,0.6490885133570459,46467.05883925147
SALES,JED,M5,pif_backed,M,True,1,92809.22770999999,0.8351437056627101,46404.613854999996
LEGAL,MAD,VP,pif_backed,M,True,1,92616.68771,0.8348575847162415,46308.343855
SUPPLY,MAK,M4,pif_backed,F,True,1,91945.10771,0.8338517731697295,45972.553855
ENG_MECH,RUH,CXO,public,M,False,1,85542.61000000003,0.8256430099589549,42771.305000000015
SALES,RUH,SVP,public,F,True,1,84650.31499999996,2.56446865406946,42325.15749999998
PM,RUH,D2,private,F,True,1,84134.71999999994,0.6143112696027532,42067.35999999997
FIN,MAK,D3,private,M,True,1,76726.21771,0.8072480806265219,38363.108855
ENG_CIVIL,RUH,D3,private,M,False,1,75069.75999999995,0.5525243939158969,37534.879999999976
SWE,JED,D1,pif_backed,M,True,1,73090.68400000001,0.5807286650357579,36545.342000000004
SWE,JAZ,D3,pif_backed,M,False,1,72192.45771,0.7975932012107007,36096.228855
DATA,RUH,M1,private,M,True,1,68882.09893938225,0.6856579805636842,34441.04946969113
HEALTH,EST,SVP,private,M,True,1,67984.39771,0.7877242280326869,33992.198855
HEALTH,TAB,VP,semigov,M,False,1,67568.85999999999,0.7226897389374302,33784.42999999999
HEALTH,EST,SVP,mnc,F,True,1,67540.44771,0.7866266404009183,33770.223855
MARKETING,RUH,D2,private,F,True,1,65193.2375,0.6550962277415004,32596.61875
DATA,RUH,D3,private,M,False,2,65069.54999999996,0.4911331309784124,32534.77499999998
