family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,168164.00117227947,0.7527534119951668,84082.00058613974
OPS,EST,SVP,semigov,M,True,1,140013.48141960645,0.7034662774905188,70006.74070980323
FIN,RUH,D1,mnc,M,True,1,75040.77392731328,0.6621455252686411,37520.38696365664
SUPPLY,MAK,M4,pif_backed,F,True,1,73238.67946833129,0.7354984567744182,36619.339734165645
PM,RUH,D2,private,F,True,1,72465.60029528025,0.5859035818062072,36232.800147640126
PM,TAB,SVP,private,M,True,1,60938.787798487174,0.5194776689815539,30469.393899243587
PM,EST,VP,private,M,True,1,57017.26370898816,0.45634148990095164,28508.63185449408
DATA,RUH,M1,private,M,True,1,55244.70738761798,0.6947350996828342,27622.35369380899
SWE,JED,D1,pif_backed,M,True,1,54927.31124015505,0.5513494911699083,27463.655620077527
MARKETING,RUH,D2,private,F,True,1,54832.66330826193,0.610130760002875,27416.331654130965
SWE,RUH,VP,private,M,True,1,50901.97935195445,0.4707561299643517,25450.989675977224
SWE,MAK,M5,semigov,M,True,1,50807.277723555,0.5673056079070498,25403.6388617775
SALES,JED,M5,pif_backed,M,True,1,48876.195152236396,0.5556417162064626,24438.097576118198
HEALTH,RUH,M5,mnc,F,True,1,47107.903562862004,0.5799174218378872,23553.951781431002
ENG_ELEC,RUH,SVP,mnc,M,True,1,46994.164829771194,0.4469393059606815,23497.082414885597
ENG_MECH,EST,M3,public,M,True,1,46309.8177518704,0.5845945171140463,23154.9088759352
PM,HAI,M3,private,M,True,1,44972.92968479717,0.6163181932887826,22486.464842398585
FIN,RUH,M2,pif_backed,F,True,1,42912.83074460714,0.6340242743489828,21456.41537230357
SWE,QAS,M2,public,M,True,1,42009.51394193061,0.684819648730071,21004.756970965303
SALES,JED,IC5,private,M,True,2,41166.67340124384,0.5444044206510081,20583.33670062192
DATA,EST,M1,mnc,M,True,1,40028.96730124827,0.641069070426456,20014.483650624134
EDU,JED,D2,private,M,True,1,38720.203395842815,0.6478504526113585,19360.101697921407
SWE,ASR,M4,semigov,M,True,1,38185.87633164508,0.6176849303563697,19092.93816582254
EDU,JED,VP,private,F,True,1,37021.997291801425,0.5927932120789695,18510.998645900712
HEALTH,EST,SVP,mnc,F,True,1,37018.08526729601,0.47741899769338764,18509.042633648005
MARKETING,NJR,M4,private,F,True,1,35242.27257937845,0.5676597339748676,17621.136289689224
SALES,RUH,M3,private,M,True,1,34492.746208635595,0.5399002306962095,17246.373104317798
SALES,RUH,M2,private,F,True,1,34390.404294811975,0.5638801033051849,17195.202147405987
