family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,211744.16216690658,0.750246098725778,105872.08108345329
OPS,EST,SVP,semigov,M,True,1,179288.35524361167,0.713014088982269,89644.17762180584
DATA,RUH,D2,semigov,M,False,1,123397.58344052022,0.6668988614047328,61698.79172026011
FIN,RUH,D1,mnc,M,True,1,92320.41412996079,0.6448021658464016,46160.20706498039
PM,RUH,D2,private,F,True,1,79862.57949950774,0.583118153909509,39931.28974975387
PM,TAB,SVP,private,M,True,1,75711.6516398214,0.5108676378303532,37855.8258199107
PM,EST,VP,private,M,True,1,74864.60477405397,0.4742777166412076,37432.30238702698
ENG_CIVIL,RUH,D3,private,M,False,1,72215.60468576371,0.531517394091464,36107.802342881856
SWE,JED,D1,pif_backed,M,True,1,70587.86856209731,0.5608430026155771,35293.934281048656
SUPPLY,MAK,M4,pif_backed,F,True,1,70043.27247468439,0.6352236503527837,35021.636237342194
DATA,RUH,M1,private,M,True,1,66917.05316978655,0.6660977561390207,33458.526584893276
SWE,RUH,VP,private,M,True,1,65665.08176948853,0.4806936691956781,32832.54088474427
DATA,EST,M4,public,M,False,1,64760.83254884418,0.5982864850875516,32380.41627442209
SALES,JED,M5,pif_backed,M,True,1,60541.9841601921,0.5447869597374967,30270.99208009605
ENG_MECH,EST,M3,public,M,True,1,58926.94260985114,0.5888005053760299,29463.47130492557
PM,HAI,M3,private,M,True,1,58249.71281316707,0.631859029691523,29124.856406583534
SWE,MAK,M5,semigov,M,True,1,57924.132247744754,0.5119449776870377,28962.066123872377
MARKETING,RUH,D2,private,F,True,1,57756.19500163988,0.5803648802420156,28878.09750081994
MARKETING,JED,D3,semigov,M,False,1,56316.78819237255,0.5353407620445,28158.394096186275
ENG_ELEC,RUH,SVP,mnc,M,True,1,55433.89806645723,0.41730408199374985,27716.949033228615
SALES,JED,IC5,private,M,True,2,52367.7484998163,0.5546936307795658,26183.87424990815
SWE,QAS,M2,public,M,True,1,51235.83169332167,0.6611118562628175,25617.915846660835
DATA,EST,M1,mnc,M,True,1,50662.80024610274,0.6422324246585206,25331.40012305137
SWE,RUH,M5,private,M,False,1,50100.803659722056,0.47573978400546774,25050.401829861028
SWE,ASR,M4,semigov,M,True,1,49683.57214257373,0.6361355360704878,24841.786071286864
PM,RUH,M4,semigov,M,True,1,46459.53975955592,0.49678088740697074,23229.76987977796
HEALTH,RUH,M5,mnc,F,True,1,46259.601559001225,0.514272422865434,23129.800779500612
DATA,RUH,D3,private,M,False,2,44819.989589153396,0.2967296077607846,22409.994794576698
FIN,JED,D3,startup,M,True,1,44569.59994699547,1.936666901904593,22284.799973497735
SALES,RUH,M3,private,M,True,1,44453.78996650179,0.5507660132437934,22226.894983250895
SWE,RUH,M3,semigov,M,False,1,44319.784735266774,0.5579168142904285,22159.892367633387
FIN,RUH,M2,pif_backed,F,True,1,44173.294887410346,0.5893828391431803,22086.647443705173
DATA,RUH,M2,public,M,False,1,43977.3679897546,0.5716090847579414,21988.6839948773
